Code du département,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,JOLY,LE PEN,SARKOZY,MÉLENCHON,POUTOU,ARTHAUD,CHEMINADE,BAYROU,DUPONT-AIGNAN,HOLLANDE
40,296740,48073,248667,4837,243830,4466,34381,59887,30508,3605,1161,516,25437,4008,79861
41,243061,41785,201276,3975,197301,3418,41190,55944,19437,2594,1384,518,19256,4213,49347
42,509701,89226,420475,8052,412423,8090,88877,103410,46104,4464,2503,939,40209,8705,109122
43,176103,27225,148878,3779,145099,3041,29600,35438,16214,1931,1067,322,16212,3021,38253
44,935254,147361,787893,14171,773722,24410,94249,201671,90140,9635,4458,1760,87453,14238,245708
45,442928,80197,362731,6686,356045,6744,73264,104350,33923,3610,2007,885,33133,7512,90617
46,135178,18738,116440,2370,114070,3046,15376,24447,16400,1650,623,299,10648,2212,39369
47,240926,40306,200620,4088,196532,3775,42080,49768,22966,2699,974,461,17394,3522,52893
48,59890,8857,51033,1027,50006,1307,8650,13885,6208,647,263,119,5505,843,12579
49,553014,86386,466628,10855,455773,10737,63252,136420,42601,6338,3426,1182,58196,10087,123534
50,375716,63635,312081,5952,306129,5601,50927,88234,30167,4131,2206,882,34272,6936,82773
51,382003,80039,301964,4977,296987,4482,66640,88707,25292,3534,1949,712,28210,6029,71432
52,138929,27345,111584,2231,109353,1506,27624,30604,9720,1455,860,265,8712,2637,25970
53,221493,34521,186972,4701,182271,3864,26930,55945,15136,2392,1415,428,25118,3897,47146
54,495506,99361,396145,6242,389903,7058,82538,94415,47042,4988,2582,1092,33871,7447,108870
55,140133,25604,114529,2075,112454,1794,29038,29863,9951,1688,789,344,10375,2299,26313
56,555819,86123,469696,8538,461158,12948,71715,129838,47220,6300,2818,1268,50050,8548,130453
57,745678,162948,582730,10658,572072,9875,141477,148328,54455,7924,4350,1522,53160,10658,140323
58,164911,31721,133190,2594,130596,2143,25565,29400,15601,1675,934,338,9746,2563,42631
59,1792359,396523,1395836,24737,1371099,23976,300362,338714,173037,15138,9545,3185,102511,21160,383471
60,548845,104642,444203,8234,435969,6598,109339,115926,44057,5338,3391,1081,33160,8505,108574
61,212521,35378,177143,3389,173754,3109,34757,51498,15501,2515,1294,422,18326,4173,42159
62,1083728,218167,865561,16422,849139,10315,216753,185632,97974,10948,7246,1824,54354,14122,249971
63,449247,71581,377666,8222,369444,7549,57555,79124,51691,4595,2372,988,36771,6555,122244
64,488946,86788,402158,8501,393657,11345,47844,92967,46749,6812,1826,882,61681,5728,117823
65,177417,29744,147673,2969,144704,3007,21580,29512,21934,1967,780,300,15265,2376,47983
66,329243,59937,269306,5112,264194,5564,64007,66870,33739,3265,1305,591,16608,3652,68593
67,748087,150904,597183,11251,585932,16188,124264,196968,42302,5993,3779,1655,69940,10141,114702
68,521174,107366,413808,8397,405411,10980,94988,129349,30076,4824,2608,1322,46176,8508,76580
