Code du département,Code du canton,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,HOLLANDE,SARKOZY
2,36,10451,2142,8309,575,7734,3726,4008
2,37,4767,980,3787,323,3464,1936,1528
2,38,15825,3448,12377,791,11586,6458,5128
2,39,15585,3167,12418,765,11653,6023,5630
2,40,17490,3741,13749,914,12835,7594,5241
2,41,17109,4095,13014,735,12279,6200,6079
2,42,12859,3237,9622,647,8975,5980,2995
3,1,4824,676,4148,268,3880,2471,1409
3,2,4862,729,4133,319,3814,2044,1770
3,3,4188,615,3573,255,3318,1691,1627
3,4,5616,872,4744,348,4396,2515,1881
3,5,5996,1118,4878,332,4546,3173,1373
3,6,9470,1513,7957,578,7379,3998,3381
3,7,6744,1192,5552,439,5113,2984,2129
3,8,3895,598,3297,225,3072,1742,1330
3,9,3619,595,3024,222,2802,1578,1224
3,10,15557,2147,13410,957,12453,6023,6430
3,11,7472,1350,6122,445,5677,3073,2604
3,12,6860,943,5917,413,5504,3318,2186
3,13,6061,984,5077,426,4651,2945,1706
3,14,3453,540,2913,232,2681,1473,1208
3,15,7007,1163,5844,461,5383,2925,2458
3,16,3643,590,3053,222,2831,1563,1268
3,17,4768,692,4076,292,3784,2076,1708
3,18,3761,633,3128,273,2855,1449,1406
3,19,3807,532,3275,241,3034,1789,1245
3,20,10923,2281,8642,609,8033,4755,3278
3,21,9182,2116,7066,449,6617,4178,2439
3,22,5955,932,5023,357,4666,2754,1912
3,23,9748,2270,7478,411,7067,4024,3043
3,24,11045,2179,8866,549,8317,4780,3537
3,25,3961,582,3379,247,3132,1784,1348
3,26,8445,1455,6990,477,6513,3492,3021
3,27,5038,727,4311,268,4043,2397,1646
3,28,10640,1718,8922,733,8189,4801,3388
3,29,9040,2055,6985,394,6591,2752,3839
3,30,8567,2023,6544,400,6144,2952,3192
3,31,7436,1710,5726,380,5346,3406,1940
3,32,12189,2348,9841,688,9153,5362,3791
3,33,12669,1947,10722,671,10051,6264,3787
3,34,8922,1654,7268,564,6704,4401,2303
3,35,10848,1600,9248,779,8469,4683,3786
4,2,1888,260,1628,116,1512,716,796
4,3,2464,326,2138,124,2014,1083,931
4,4,5441,942,4499,272,4227,1769,2458
4,5,1228,182,1046,82,964,510,454
4,6,2040,281,1759,94,1665,828,837
4,7,2023,309,1714,84,1630,709,921
4,8,6903,1432,5471,365,5106,2733,2373
4,9,1228,182,1046,77,969,440,529
4,10,10744,1750,8994,513,8481,4498,3983
4,11,1624,208,1416,96,1320,758,562
4,12,1218,175,1043,66,977,503,474
4,13,8896,1678,7218,439,6779,3440,3339
4,14,8317,1398,6919,516,6403,3178,3225
4,15,1783,211,1572,96,1476,858,618
4,16,2139,261,1878,143,1735,855,880
4,17,1029,165,864,57,807,425,382
4,18,1181,164,1017,64,953,490,463
4,19,3067,477,2590,190,2400,1237,1163
4,20,2937,458,2479,116,2363,1242,1121
4,21,4294,684,3610,249,3361,1647,1714
4,22,1435,191,1244,111,1133,549,584
4,23,2548,337,2211,134,2077,1093,984
4,26,2544,389,2155,132,2023,1031,992
4,27,6764,1094,5670,383,5287,2705,2582
4,28,995,123,872,64,808,432,376
4,29,5224,835,4389,298,4091,1913,2178
4,30,8807,1324,7483,492,6991,3907,3084
4,31,9697,1532,8165,554,7611,4198,3413
