Code du département,Code du canton,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,JOLY,LE PEN,SARKOZY,MÉLENCHON,POUTOU,ARTHAUD,CHEMINADE,BAYROU,DUPONT-AIGNAN,HOLLANDE
2,10,6413,1107,5306,111,5195,81,1427,1443,551,60,40,20,415,133,1025
2,11,8579,1470,7109,141,6968,89,1991,1607,796,99,69,12,400,148,1757
2,12,4241,536,3705,62,3643,50,952,850,403,41,27,12,226,92,990
2,13,5618,822,4796,82,4714,57,1342,941,432,52,53,9,250,80,1498
2,14,8524,1768,6756,109,6647,67,1766,1478,740,93,63,14,379,137,1910
2,15,6578,1042,5536,101,5435,80,1623,1389,482,70,50,17,409,112,1203
2,16,7578,1316,6262,95,6167,43,1615,1419,541,73,52,16,340,127,1941
2,17,13850,3768,10082,150,9932,90,2699,2164,1141,135,80,28,548,165,2882
2,18,10474,2296,8178,133,8045,111,1868,1828,827,99,64,16,584,126,2522
2,19,5283,836,4447,76,4371,44,1111,1021,396,78,47,6,237,78,1353
2,20,6077,836,5241,74,5167,47,1404,1359,432,48,43,20,396,131,1287
2,21,7243,1175,6068,119,5949,59,1555,1631,491,102,61,15,474,134,1427
2,22,7358,1417,5941,81,5860,107,1792,1485,616,79,57,8,400,111,1205
2,23,4789,869,3920,93,3827,28,1121,1086,276,49,31,7,230,54,945
2,24,4199,640,3559,53,3506,46,1090,911,323,62,31,14,211,56,762
2,25,6418,1088,5330,76,5254,51,1476,1212,510,74,56,16,262,89,1508
2,26,5676,1034,4642,68,4574,50,1249,1188,327,76,51,10,327,89,1207
2,27,3351,468,2883,67,2816,21,767,753,188,39,26,4,188,47,783
2,28,11840,2640,9200,149,9051,108,1834,2722,798,74,54,23,729,147,2562
2,29,8562,1419,7143,106,7037,46,1986,1538,784,82,56,20,366,167,1992
2,30,7369,1294,6075,104,5971,69,1662,1418,516,97,51,8,398,149,1603
2,31,15217,3469,11748,208,11540,127,2934,2923,1173,127,76,23,823,190,3144
2,32,7518,1161,6357,113,6244,68,1821,1444,585,88,56,15,458,142,1567
2,33,7477,1000,6477,107,6370,71,1579,1800,588,54,32,15,502,120,1609
2,34,5969,996,4973,91,4882,46,1264,1337,456,64,53,11,285,100,1266
2,35,7889,1307,6582,86,6496,82,1842,1677,640,66,49,16,470,122,1532
2,36,10453,2119,8334,168,8166,119,2120,2124,839,125,76,24,531,155,2053
2,37,4769,918,3851,64,3787,19,1213,797,311,66,38,12,195,85,1051
2,38,15823,3465,12358,198,12160,183,2568,2909,1321,171,101,24,948,223,3712
2,39,15585,3153,12432,216,12216,160,2818,3314,1056,122,76,25,807,222,3616
2,40,17487,3679,13808,211,13597,155,3353,2787,1637,160,119,28,797,241,4320
2,41,17105,4068,13037,195,12842,134,3106,3230,1343,146,94,41,921,245,3582
2,42,12859,3160,9699,165,9534,71,2487,1449,1403,135,96,26,458,146,3263
3,1,4823,688,4135,119,4016,146,596,801,948,49,26,6,304,89,1051
